renovation,area,city,floor,rooms,house_floors,house_wall_type,build_year,price
Отсутствует,28.9,Новосибирск,1,1,5,Кирпичный,1972,3349972.4
,30.4,Новосибирск,2,1,5,Кирпичный,1969,3349988.8
Косметический,30.2,Новосибирск,3,1,5,Панельный,1976,3499998.8
Отсутствует,40.7,Казань,6,1,9,Кирпичный,2022,6649973.0
Косметический,37.0,Казань,5,1,10,Кирпичный,2012,6499975.0
,39.9,Казань,10,1,11,Железобетон,2016,6798999.899999999
,33.0,Казань,6,1,10,Кирпичный,2017,6399987.0
Отсутствует,34.0,Казань,5,1,10,Кирпичный,2023,6549998.0
Отсутствует,31.0,Казань,6,1,9,Кирпичный,2022,6189987.0
,36.0,Казань,6,1,10,Кирпичный,2019,6109992.0
,34.0,Казань,4,1,9,Монолитный,2019,6199968.0
,34.3,Казань,6,1,10,Кирпичный,2021,5906974.499999999
,39.0,Казань,6,1,10,Панельный,2008,5850000.0
,36.6,Казань,10,1,10,Панельный,1996,5799965.4
Косметический,38.5,Казань,7,1,10,Кирпичный,2006,5699963.5
Косметический,53.0,Казань,4,1,10,Панельный,2006,6199993.0
,39.0,Казань,6,1,9,Панельный,1999,5549973.0
Косметический,33.9,Казань,8,1,9,Панельный,2000,5599974.899999999
,54.4,Казань,3,1,10,Иные,2002,6149974.399999999
Косметический,34.2,Казань,6,1,9,Панельный,1988,5399974.800000001
,35.0,Казань,6,1,10,Панельный,2006,5349995.0
,34.0,Казань,7,1,9,Блочный,1988,5599970.0
,35.0,Казань,6,1,9,Иные,1989,5399975.0
Косметический,35.6,Казань,6,1,9,Кирпичный,1990,5199878.4
,38.29,Казань,2,1,10,Панельный,2001,6099979.899999999
Косметический,38.0,Казань,2,1,9,Панельный,2008,5949964.0
Косметический,35.0,Казань,8,1,10,Панельный,2003,4849985.0
,31.6,Казань,9,1,10,Блочный,1995,4998993.600000001
Косметический,42.3,Казань,1,1,10,Панельный,2008,5849963.1
,33.9,Казань,1,1,10,Кирпичный,1996,5999994.899999999
,36.4,Казань,2,1,9,Блочный,1987,5842964.399999999
,36.5,Казань,8,1,9,Блочный,1987,4899979.0
,33.5,Казань,9,1,9,Иные,1997,4749998.5
Косметический,32.9,Казань,2,1,9,Панельный,1995,5789972.3
Косметический,36.5,Казань,1,1,9,Панельный,1975,5599976.0
Косметический,33.0,Казань,3,1,9,Панельный,1986,5599968.0
,37.1,Казань,1,1,10,Панельный,1993,5499963.7
Косметический,33.0,Казань,3,1,9,Панельный,1988,5699991.0
Косметический,35.0,Казань,3,1,9,Панельный,1976,5499970.0
Косметический,32.8,Казань,1,1,9,Панельный,1983,5489998.399999999
,37.5,Казань,1,1,9,Панельный,1984,5499975.0
Косметический,35.0,Казань,4,1,6,Кирпичный,1992,5499970.0
,34.0,Казань,1,1,9,Панельный,1990,5349968.0
,34.9,Казань,3,1,9,Панельный,1974,5249972.1
,35.2,Казань,4,1,9,Блочный,1978,5298972.800000001
,33.4,Казань,4,1,9,Иные,1997,5499978.0
,34.0,Казань,1,1,9,Иные,1985,5179968.0
Косметический,33.4,Казань,1,1,9,Панельный,1990,5249979.0
Косметический,31.0,Казань,4,1,5,Панельный,1970,5149999.0
Отсутствует,39.1,Казань,1,1,9,Иные,1984,5099969.4
,33.1,Казань,4,1,9,Панельный,2000,5499995.3
,34.0,Казань,4,1,10,Панельный,1992,5299988.0
,33.4,Казань,1,1,10,Панельный,1993,4999980.0
Косметический,30.8,Казань,5,1,5,Панельный,1968,5099987.2
,33.6,Казань,1,1,9,Панельный,1985,4899988.8
Косметический,40.6,Казань,1,1,9,Иные,1989,4898999.0
Косметический,33.6,Казань,1,1,9,Иные,1987,4769990.4
Частичный ремонт,33.0,Казань,5,1,9,Панельный,1987,5149980.0
Косметический,31.0,Казань,4,1,5,Кирпичный,1963,4989977.0
Косметический,33.3,Казань,1,1,9,Панельный,1986,4649978.699999999
,31.4,Казань,5,1,5,Иные,1969,4899970.0
,33.3,Казань,1,1,9,Панельный,1986,4749978.6
